text,label
"random text",invalid
"Where can I find Tokyo?",valid
"hello",invalid
"xyz123",invalid
"Tourist attractions in UX design?",valid
"Explain electric vehicles?",valid
"well",invalid
"Benefits of USA?",valid
"Guide to football?",valid
"a",invalid
"Benefits of world war 2?",valid
"ok",invalid
"Buy mental health",invalid
"test test test",invalid
"What is the weather in UX design?",valid
"Machine learning climate change?",valid
"blah blah",invalid
"no",invalid
"Message USA",invalid
"blah blah",invalid
"Play football",invalid
"Symptoms of blockchain?",valid
"Where can I find climate change?",valid
"Python sustainable living?",valid
"Remind me to climate change",invalid
"     ",invalid
"How to fix cryptocurrency?",valid
"Best way to learn diet plans?",valid
"test test test",invalid
"hello",invalid
"yo",invalid
"Book a flight to blockchain",invalid
"Turn off mental health",invalid
"   hi",invalid
"Explain cryptocurrency?",valid
"Find ChatGPT",invalid
"History of football?",valid
"Explain diet plans?",valid
"Where can I find world war 2?",valid
"Book a flight to budget travel",invalid
"Set alarm for electric vehicles",invalid
"History of stock market?",valid
"qwerty",invalid
"a",invalid
"no",invalid
"Top 10 diet plans?",valid
"How does cryptocurrency?",valid
"JavaScript world war 2?",valid
"Explain football?",valid
"nan",invalid
"Change mental health",invalid
"Where can I find football?",valid
"Machine learning astronomy?",valid
"Examples of astronomy?",valid
"How does cryptocurrency?",valid
"Examples of cryptocurrency?",valid
"How does diet plans?",valid
"Delete football",invalid
"Tourist attractions in world war 2?",valid
"Latest news about USA?",valid
"Locate budget travel",invalid
"How does mental health?",valid
"Send email to football",invalid
"Best way to learn COVID-19?",valid
"Symptoms of plant-based diet?",valid
"well",invalid
"Change astronomy",invalid
"......",invalid
"Best way to learn electric vehicles?",valid
"Turn off cryptocurrency",invalid
"Where can I find COVID-19?",valid
"Tips to improve astronomy?",valid
"JavaScript stock market?",valid
"Python budget travel?",valid
"lorem ipsum",invalid
"Best way to learn world war 2?",valid
"Send email to USA",invalid
"Mark as read astronomy",invalid
"qwerty",invalid
"How does world war 2?",valid
"Where can I find astronomy?",valid
"Buy football",invalid
"Latest news about plant-based diet?",valid
"Where can I find COVID-19?",valid
"Latest news about electric vehicles?",valid
"Examples of diet plans?",valid
"Where can I find stock market?",valid
"Buy sustainable living",invalid
"Schedule a meeting electric vehicles",invalid
"     ",invalid
"Benefits of climate change?",valid
"History of sustainable living?",valid
"nan",invalid
"Benefits of world war 2?",valid
"Remind me to USA",invalid
"Find blockchain",invalid
"How does UX design?",valid
"Tips to improve budget travel?",valid
"Set alarm for cryptocurrency",invalid
"xyz123",invalid
"!!!",invalid
"lorem ipsum",invalid
"ok",invalid
"Tourist attractions in astronomy?",valid
"Examples of Tokyo?",valid
"Examples of diet plans?",valid
"xyz123",invalid
"Top 10 cryptocurrency?",valid
"What is the weather in diet plans?",valid
"Best way to learn ChatGPT?",valid
"What is the weather in programming?",valid
"Remind me to Tokyo",invalid
"a",invalid
"Guide to plant-based diet?",valid
"Top 10 India?",valid
"Buy UX design",invalid
"Top 10 world war 2?",valid
"Python Tokyo?",valid
"Locate mental health",invalid
"Create calendar event Tokyo",invalid
"What is the weather in USA?",valid
"Recipes for cryptocurrency?",valid
"ok",invalid
"Best way to learn budget travel?",valid
"Tips to improve programming?",valid
"Benefits of mental health?",valid
"nan",invalid
"Mark as read COVID-19",invalid
"How does budget travel?",valid
"Book a flight to football",invalid
"Play climate change",invalid
"hello",invalid
"random text",invalid
"Tourist attractions in cryptocurrency?",valid
"Set alarm for astronomy",invalid
"Symptoms of UX design?",valid
"Tourist attractions in stock market?",valid
"Turn off cryptocurrency",invalid
"Guide to ChatGPT?",valid
"Guide to world war 2?",valid
"Examples of COVID-19?",valid
"Best way to learn COVID-19?",valid
"Machine learning ChatGPT?",valid
"Turn off climate change",invalid
"Tips to improve climate change?",valid
"Benefits of diet plans?",valid
"Benefits of diet plans?",valid
"well",invalid
"Tips to improve plant-based diet?",valid
"Machine learning COVID-19?",valid
"How to make electric vehicles?",valid
"Explain ChatGPT?",valid
"Locate ChatGPT",invalid
"hmmm",invalid
"Buy UX design",invalid
"Open COVID-19",invalid
"Where can I find climate change?",valid
"nan",invalid
"Change India",invalid
"Recipes for sustainable living?",valid
"Book a flight to football",invalid
"Mark as read electric vehicles",invalid
"Recipes for astronomy?",valid
"What is the weather in mental health?",valid
"Find ChatGPT",invalid
"lorem ipsum",invalid
"JavaScript diet plans?",valid
"......",invalid
"Latest news about USA?",valid
"a",invalid
"Tips to improve electric vehicles?",valid
"Open climate change",invalid
"Set alarm for electric vehicles",invalid
"Remind me to mental health",invalid
"Examples of world war 2?",valid
"Latest news about mental health?",valid
"nan",invalid
"Guide to India?",valid
"Tips to improve ChatGPT?",valid
"Python plant-based diet?",valid
"ok",invalid
"random text",invalid
"Change budget travel",invalid
"Latest news about Tokyo?",valid
"Buy diet plans",invalid
"How to fix astronomy?",valid
"Add mental health",invalid
"Symptoms of astronomy?",valid
"Machine learning stock market?",valid
"Symptoms of diet plans?",valid
"nan",invalid
"Latest news about astronomy?",valid
"JavaScript ChatGPT?",valid
"Best way to learn mental health?",valid
"Mark as read electric vehicles",invalid
"Guide to UX design?",valid
"Top 10 sustainable living?",valid
"Recipes for football?",valid
"Explain sustainable living?",valid
"Navigate to football",invalid
"lorem ipsum",invalid
"test test test",invalid
"asdfghjkl",invalid
"How does sustainable living?",valid
"Latest news about mental health?",valid
"Mark as read sustainable living",invalid
"asdfghjkl",invalid
"Benefits of climate change?",valid
"Delete Tokyo",invalid
"Navigate to India",invalid
"yo",invalid
"Book a flight to diet plans",invalid
"Locate UX design",invalid
"Call budget travel",invalid
"How does blockchain?",valid
"Tips to improve stock market?",valid
"How to fix cryptocurrency?",valid
"What is the weather in Tokyo?",valid
"JavaScript sustainable living?",valid
"Top 10 world war 2?",valid
"Latest news about UX design?",valid
"How does plant-based diet?",valid
"JavaScript plant-based diet?",valid
"hmmm",invalid
"Python ChatGPT?",valid
"Remind me to Tokyo",invalid
"Find plant-based diet",invalid
"random text",invalid
"Send email to COVID-19",invalid
"Best way to learn plant-based diet?",valid
"Explain COVID-19?",valid
"Best way to learn budget travel?",valid
"Latest news about mental health?",valid
"Explain plant-based diet?",valid
"Change sustainable living",invalid
"Top 10 ChatGPT?",valid
"hello",invalid
"Send email to India",invalid
"test test test",invalid
"Benefits of USA?",valid
"JavaScript diet plans?",valid
"Mark as read ChatGPT",invalid
"Open cryptocurrency",invalid
"Turn off mental health",invalid
"Remind me to ChatGPT",invalid
"Change blockchain",invalid
"Mark as read stock market",invalid
"Recipes for ChatGPT?",valid
"Machine learning budget travel?",valid
"Best way to learn climate change?",valid
"How does cryptocurrency?",valid
"Set alarm for diet plans",invalid
"Set alarm for blockchain",invalid
"Best way to learn UX design?",valid
"......",invalid
"Play stock market",invalid
"random text",invalid
"Latest news about budget travel?",valid
"hello",invalid
"a",invalid
"Python diet plans?",valid
"well",invalid
"Remind me to plant-based diet",invalid
"Open Tokyo",invalid
"Turn off blockchain",invalid
"Latest news about UX design?",valid
"Where can I find diet plans?",valid
"How to fix mental health?",valid
"How does USA?",valid
"Latest news about blockchain?",valid
"nan",invalid
"Machine learning programming?",valid
"hmmm",invalid
"Best way to learn stock market?",valid
"Record ChatGPT",invalid
"Remind me to budget travel",invalid
"What is the weather in India?",valid
"yes",invalid
"Benefits of ChatGPT?",valid
"Delete football",invalid
"What is the weather in electric vehicles?",valid
"What is the weather in stock market?",valid
"Locate ChatGPT",invalid
"Message programming",invalid
"Tips to improve UX design?",valid
"JavaScript programming?",valid
"Where can I find cryptocurrency?",valid
"Send email to diet plans",invalid
"Best way to learn UX design?",valid
"well",invalid
"hello",invalid
"Tips to improve plant-based diet?",valid
"xyz123",invalid
"Send email to world war 2",invalid
"How does mental health?",valid
"Add Tokyo",invalid
"lorem ipsum",invalid
"hello",invalid
"no",invalid
"JavaScript COVID-19?",valid
"Machine learning electric vehicles?",valid
"Schedule a meeting blockchain",invalid
"Guide to India?",valid
"How to fix mental health?",valid
"Top 10 stock market?",valid
"a",invalid
"History of world war 2?",valid
"Best way to learn COVID-19?",valid
"JavaScript astronomy?",valid
"     ",invalid
"Delete UX design",invalid
"Where can I find climate change?",valid
"Change USA",invalid
"Best way to learn sustainable living?",valid
"Symptoms of India?",valid
"Tips to improve climate change?",valid
"nan",invalid
"Guide to UX design?",valid
"History of USA?",valid
"JavaScript world war 2?",valid
"JavaScript climate change?",valid
"Python mental health?",valid
"Best way to learn cryptocurrency?",valid
"Play cryptocurrency",invalid
"Best way to learn USA?",valid
"blah blah",invalid
"yo",invalid
"Buy astronomy",invalid
"Add mental health",invalid
"Find sustainable living",invalid
"History of USA?",valid
"Python astronomy?",valid
"Python India?",valid
"Book a flight to Tokyo",invalid
"well",invalid
"How to fix ChatGPT?",valid
"Best way to learn blockchain?",valid
"Best way to learn mental health?",valid
"Remind me to stock market",invalid
"Benefits of stock market?",valid
"Explain cryptocurrency?",valid
"Top 10 cryptocurrency?",valid
"Tourist attractions in stock market?",valid
"yes",invalid
"Recipes for India?",valid
"Machine learning plant-based diet?",valid
"     ",invalid
"Python world war 2?",valid
"What is the weather in Tokyo?",valid
"How to fix Tokyo?",valid
"Best way to learn cryptocurrency?",valid
"Locate climate change",invalid
"Tips to improve astronomy?",valid
"Examples of cryptocurrency?",valid
"Examples of USA?",valid
"How to fix plant-based diet?",valid
"Add plant-based diet",invalid
"Locate stock market",invalid
"Python sustainable living?",valid
"Send email to India",invalid
"......",invalid
"ok",invalid
"xyz123",invalid
"Machine learning cryptocurrency?",valid
"Tourist attractions in plant-based diet?",valid
"How to fix COVID-19?",valid
"a",invalid
"Examples of cryptocurrency?",valid
"Change world war 2",invalid
"Machine learning climate change?",valid
"JavaScript programming?",valid
"......",invalid
"Book a flight to programming",invalid
"yo",invalid
"How to fix electric vehicles?",valid
"Call cryptocurrency",invalid
"History of cryptocurrency?",valid
"Guide to football?",valid
"What is the weather in COVID-19?",valid
"Remind me to UX design",invalid
"!!!",invalid
"Send email to astronomy",invalid
"Top 10 USA?",valid
"Benefits of mental health?",valid
"Where can I find cryptocurrency?",valid
"Examples of diet plans?",valid
"hello",invalid
"Tourist attractions in blockchain?",valid
"Schedule a meeting UX design",invalid
"qwerty",invalid
"Send email to astronomy",invalid
"Call mental health",invalid
"yes",invalid
"Tips to improve world war 2?",valid
"How does cryptocurrency?",valid
"Navigate to COVID-19",invalid
"How to fix programming?",valid
"Latest news about stock market?",valid
"Top 10 stock market?",valid
"Play budget travel",invalid
"yes",invalid
"Examples of India?",valid
"yo",invalid
"Delete astronomy",invalid
"Remind me to climate change",invalid
"yes",invalid
"How to fix budget travel?",valid
"yo",invalid
"Record programming",invalid
"Find UX design",invalid
"Message football",invalid
"yes",invalid
"Set alarm for stock market",invalid
"Navigate to mental health",invalid
"......",invalid
"JavaScript COVID-19?",valid
"Tourist attractions in ChatGPT?",valid
"What is the weather in world war 2?",valid
"Benefits of India?",valid
"Add electric vehicles",invalid
"Symptoms of electric vehicles?",valid
"Open India",invalid
"History of blockchain?",valid
"Mark as read ChatGPT",invalid
"Remind me to ChatGPT",invalid
"yo",invalid
"Examples of electric vehicles?",valid
"!!!",invalid
"Best way to learn world war 2?",valid
"Explain mental health?",valid
"Machine learning blockchain?",valid
"Explain Tokyo?",valid
"   hi",invalid
"ok",invalid
"What is the weather in India?",valid
"Message mental health",invalid
"     ",invalid
"How to fix mental health?",valid
"Latest news about world war 2?",valid
"Where can I find ChatGPT?",valid
"Best way to learn USA?",valid
"Turn off budget travel",invalid
"Add USA",invalid
"Buy budget travel",invalid
"Top 10 sustainable living?",valid
"History of USA?",valid
"Benefits of stock market?",valid
"qwerty",invalid
"Python plant-based diet?",valid
"test test test",invalid
"Symptoms of ChatGPT?",valid
"no",invalid
"Mark as read India",invalid
"Find Tokyo",invalid
"Symptoms of plant-based diet?",valid
"How to fix football?",valid
"qwerty",invalid
"test test test",invalid
"Delete programming",invalid
"Record USA",invalid
"Record climate change",invalid
"What is the weather in programming?",valid
"xyz123",invalid
"Explain electric vehicles?",valid
"Mark as read Tokyo",invalid
"no",invalid
"Guide to blockchain?",valid
"How to make electric vehicles?",valid
"Where can I find electric vehicles?",valid
"ok",invalid
"well",invalid
"Tourist attractions in mental health?",valid
"Book a flight to COVID-19",invalid
"Buy COVID-19",invalid
"JavaScript USA?",valid
"Python plant-based diet?",valid
"JavaScript USA?",valid
"Examples of ChatGPT?",valid
"Remind me to budget travel",invalid
"Find astronomy",invalid
"Symptoms of COVID-19?",valid
"Book a flight to mental health",invalid
"hmmm",invalid
"Examples of climate change?",valid
"Where can I find world war 2?",valid
"test test test",invalid
"Add astronomy",invalid
"Top 10 budget travel?",valid
"Delete ChatGPT",invalid
"Mark as read diet plans",invalid
"Explain mental health?",valid
"Explain astronomy?",valid
"yo",invalid
"hello",invalid
"Examples of diet plans?",valid
"xyz123",invalid
"Latest news about football?",valid
"Where can I find world war 2?",valid
"Guide to plant-based diet?",valid
"Locate world war 2",invalid
"History of plant-based diet?",valid
"Create calendar event COVID-19",invalid
"Explain astronomy?",valid
"Examples of diet plans?",valid
"Tourist attractions in Tokyo?",valid
"hmmm",invalid
"Find world war 2",invalid
"How to make electric vehicles?",valid
"qwerty",invalid
"Python programming?",valid
"Buy USA",invalid
"     ",invalid
"Schedule a meeting mental health",invalid
"lorem ipsum",invalid
"Best way to learn football?",valid
"Change blockchain",invalid
"How does budget travel?",valid
"History of plant-based diet?",valid
"Message India",invalid
"Benefits of diet plans?",valid
"Python electric vehicles?",valid
"Change UX design",invalid
"JavaScript USA?",valid
"Where can I find UX design?",valid
"History of astronomy?",valid
"Open blockchain",invalid
"Latest news about programming?",valid
"Top 10 Tokyo?",valid
"Examples of diet plans?",valid
"yes",invalid
"yes",invalid
"ok",invalid
"History of budget travel?",valid
"Machine learning COVID-19?",valid
"test test test",invalid
"Tips to improve world war 2?",valid
"Benefits of climate change?",valid
"Mark as read budget travel",invalid
"Remind me to mental health",invalid
"Turn off astronomy",invalid
"Delete world war 2",invalid
"random text",invalid
"Buy mental health",invalid
"JavaScript India?",valid
"Top 10 football?",valid
"Record blockchain",invalid
"Symptoms of programming?",valid
"Set alarm for world war 2",invalid
"Tourist attractions in climate change?",valid
"Tourist attractions in ChatGPT?",valid
"yo",invalid
"hello",invalid
"Buy electric vehicles",invalid
"Recipes for world war 2?",valid
"Message sustainable living",invalid
"JavaScript diet plans?",valid
"JavaScript budget travel?",valid
"Mark as read world war 2",invalid
"Change ChatGPT",invalid
"Buy ChatGPT",invalid
"Explain COVID-19?",valid
"Find India",invalid
"Add stock market",invalid
"Guide to sustainable living?",valid
"Remind me to COVID-19",invalid
"Schedule a meeting world war 2",invalid
"Send email to plant-based diet",invalid
"asdfghjkl",invalid
"Open sustainable living",invalid
"History of programming?",valid
"lorem ipsum",invalid
"Find sustainable living",invalid
"Explain world war 2?",valid
"blah blah",invalid
"Best way to learn diet plans?",valid
"Change astronomy",invalid
"     ",invalid
"lorem ipsum",invalid
"JavaScript Tokyo?",valid
"Remind me to cryptocurrency",invalid
"Top 10 plant-based diet?",valid
"Turn off diet plans",invalid
"Explain USA?",valid
"Tourist attractions in programming?",valid
"Machine learning blockchain?",valid
"Play blockchain",invalid
"a",invalid
"Benefits of programming?",valid
"History of budget travel?",valid
"What is the weather in cryptocurrency?",valid
"History of football?",valid
"hmmm",invalid
"Top 10 UX design?",valid
"Book a flight to sustainable living",invalid
"Send email to world war 2",invalid
"Best way to learn plant-based diet?",valid
"qwerty",invalid
"asdfghjkl",invalid
"Locate India",invalid
"Create calendar event COVID-19",invalid
"Examples of world war 2?",valid
"Book a flight to plant-based diet",invalid
"qwerty",invalid
"Machine learning UX design?",valid
"Book a flight to programming",invalid
"     ",invalid
"Delete India",invalid
"nan",invalid
"!!!",invalid
"Examples of sustainable living?",valid
"Set alarm for plant-based diet",invalid
"qwerty",invalid
"Create calendar event cryptocurrency",invalid
"Call USA",invalid
"test test test",invalid
"Guide to plant-based diet?",valid
"Latest news about budget travel?",valid
"What is the weather in sustainable living?",valid
"Set alarm for programming",invalid
"Recipes for electric vehicles?",valid
"no",invalid
"a",invalid
"Navigate to programming",invalid
"xyz123",invalid
"Recipes for stock market?",valid
"Delete ChatGPT",invalid
"lorem ipsum",invalid
"Tourist attractions in cryptocurrency?",valid
"Open diet plans",invalid
"Symptoms of blockchain?",valid
"blah blah",invalid
"Tourist attractions in UX design?",valid
"xyz123",invalid
"Symptoms of India?",valid
"Tourist attractions in ChatGPT?",valid
"!!!",invalid
"Schedule a meeting cryptocurrency",invalid
"     ",invalid
"Best way to learn climate change?",valid
"Message stock market",invalid
"Call stock market",invalid
"Send email to world war 2",invalid
"JavaScript budget travel?",valid
"Tourist attractions in programming?",valid
"Schedule a meeting plant-based diet",invalid
"test test test",invalid
"Guide to Tokyo?",valid
"blah blah",invalid
"hello",invalid
"Python India?",valid
"Machine learning sustainable living?",valid
"nan",invalid
"Python astronomy?",valid
"Symptoms of climate change?",valid
"Examples of programming?",valid
"Symptoms of football?",valid
"Recipes for world war 2?",valid
"History of electric vehicles?",valid
"yo",invalid
"Navigate to football",invalid
"Best way to learn world war 2?",valid
"Tips to improve sustainable living?",valid
"What is the weather in programming?",valid
"a",invalid
"JavaScript mental health?",valid
"yo",invalid
"Best way to learn budget travel?",valid
"How to make USA?",valid
"lorem ipsum",invalid
"Python programming?",valid
"yo",invalid
"Best way to learn ChatGPT?",valid
"Where can I find stock market?",valid
"Book a flight to COVID-19",invalid
"Top 10 stock market?",valid
"What is the weather in mental health?",valid
"Explain budget travel?",valid
"Tourist attractions in sustainable living?",valid
"Buy plant-based diet",invalid
"Python COVID-19?",valid
"Message UX design",invalid
"How does world war 2?",valid
"well",invalid
"Python programming?",valid
"Recipes for electric vehicles?",valid
"Benefits of sustainable living?",valid
"well",invalid
"How to fix programming?",valid
"Send email to ChatGPT",invalid
"yo",invalid
"Where can I find USA?",valid
"......",invalid
"Find electric vehicles",invalid
"asdfghjkl",invalid
"Benefits of UX design?",valid
"test test test",invalid
"Best way to learn budget travel?",valid
"Guide to ChatGPT?",valid
"xyz123",invalid
"Recipes for astronomy?",valid
"Record diet plans",invalid
"lorem ipsum",invalid
"Tourist attractions in world war 2?",valid
"lorem ipsum",invalid
"Remind me to blockchain",invalid
"Buy Tokyo",invalid
"Guide to world war 2?",valid
"How to make UX design?",valid
"Benefits of football?",valid
"JavaScript blockchain?",valid
"Delete electric vehicles",invalid
"......",invalid
"xyz123",invalid
"JavaScript ChatGPT?",valid
"Guide to climate change?",valid
"How to make diet plans?",valid
"JavaScript astronomy?",valid
"Guide to diet plans?",valid
"ok",invalid
"Recipes for mental health?",valid
"Recipes for world war 2?",valid
"Add blockchain",invalid
"Guide to astronomy?",valid
"Add Tokyo",invalid
"Benefits of ChatGPT?",valid
"Where can I find programming?",valid
"How to fix diet plans?",valid
"Tips to improve ChatGPT?",valid
"Tips to improve world war 2?",valid
"Symptoms of Tokyo?",valid
"Remind me to blockchain",invalid
"Top 10 mental health?",valid
"Open football",invalid
"Navigate to electric vehicles",invalid
"Where can I find electric vehicles?",valid
"Send email to astronomy",invalid
"Symptoms of COVID-19?",valid
"Find mental health",invalid
"JavaScript ChatGPT?",valid
"How does Tokyo?",valid
"Record world war 2",invalid
"Latest news about ChatGPT?",valid
"Benefits of climate change?",valid
"Recipes for football?",valid
"Benefits of programming?",valid
"Open blockchain",invalid
"Best way to learn astronomy?",valid
"   hi",invalid
"JavaScript COVID-19?",valid
"Find Tokyo",invalid
"How to fix programming?",valid
"Call Tokyo",invalid
"Python COVID-19?",valid
"Latest news about USA?",valid
"hello",invalid
"Navigate to India",invalid
"Tips to improve Tokyo?",valid
"Call UX design",invalid
"How to fix climate change?",valid
"How to fix cryptocurrency?",valid
"How does world war 2?",valid
"History of electric vehicles?",valid
"Tips to improve electric vehicles?",valid
"What is the weather in ChatGPT?",valid
"Remind me to plant-based diet",invalid
"Guide to plant-based diet?",valid
"What is the weather in UX design?",valid
"Remind me to football",invalid
"JavaScript electric vehicles?",valid
"Tips to improve COVID-19?",valid
"Guide to electric vehicles?",valid
"Best way to learn stock market?",valid
"How to make plant-based diet?",valid
"Add USA",invalid
"Latest news about budget travel?",valid
"Benefits of electric vehicles?",valid
"Play plant-based diet",invalid
"Latest news about diet plans?",valid
"well",invalid
"Delete COVID-19",invalid
"Delete programming",invalid
"What is the weather in Tokyo?",valid
"ok",invalid
"Schedule a meeting climate change",invalid
"   hi",invalid
"Buy mental health",invalid
"Tips to improve UX design?",valid
"Recipes for USA?",valid
"Play ChatGPT",invalid
"Navigate to world war 2",invalid
"Python world war 2?",valid
"Explain blockchain?",valid
"Recipes for USA?",valid
"Delete world war 2",invalid
"Examples of mental health?",valid
"Remind me to astronomy",invalid
"Open UX design",invalid
"Delete Tokyo",invalid
"Change budget travel",invalid
"How to fix programming?",valid
"Locate India",invalid
"Tips to improve UX design?",valid
"......",invalid
"Locate programming",invalid
"..",invalid
"Explain COVID-19?",valid
"Send email to programming",invalid
"Examples of USA?",valid
"JavaScript climate change?",valid
"Top 10 world war 2?",valid
"History of UX design?",valid
"Where can I find UX design?",valid
"Benefits of climate change?",valid
"Find budget travel",invalid
"Buy mental health",invalid
"Tips to improve blockchain?",valid
"Latest news about COVID-19?",valid
"Change blockchain",invalid
"Turn off blockchain",invalid
"Record astronomy",invalid
"ok",invalid
"JavaScript ChatGPT?",valid
"Send email to cryptocurrency",invalid
"How to fix programming?",valid
"Tips to improve ChatGPT?",valid
"Top 10 programming?",valid
"Python USA?",valid
"History of mental health?",valid
"Tourist attractions in sustainable living?",valid
"Open India",invalid
"Play budget travel",invalid
"Python ChatGPT?",valid
"How to make electric vehicles?",valid
"How to make ChatGPT?",valid
"test test test",invalid
"Recipes for UX design?",valid
"Message Tokyo",invalid
"Add climate change",invalid
"ok",invalid
"How does mental health?",valid
"Python electric vehicles?",valid
"Where can I find electric vehicles?",valid
"ok",invalid
"yes",invalid
"Find climate change",invalid
"Send email to plant-based diet",invalid
"How does climate change?",valid
"Tourist attractions in climate change?",valid
"Benefits of programming?",valid
"Set alarm for football",invalid
"xyz123",invalid
"Python astronomy?",valid
"Add diet plans",invalid
"What is the weather in cryptocurrency?",valid
"Where can I find COVID-19?",valid
"Call football",invalid
"no",invalid
"Python blockchain?",valid
"Examples of astronomy?",valid
"Recipes for COVID-19?",valid
"Recipes for COVID-19?",valid
"Set alarm for electric vehicles",invalid
"Add climate change",invalid
"Open blockchain",invalid
"yo",invalid
"Benefits of diet plans?",valid
"Examples of programming?",valid
"Top 10 electric vehicles?",valid
"Python budget travel?",valid
"How to make ChatGPT?",valid
"Benefits of USA?",valid
"yo",invalid
"Turn off programming",invalid
"Remind me to sustainable living",invalid
"How to make UX design?",valid
"Set alarm for ChatGPT",invalid
"Explain blockchain?",valid
"What is the weather in plant-based diet?",valid
"yo",invalid
"Tourist attractions in mental health?",valid
"Recipes for electric vehicles?",valid
"!!!",invalid
"How does programming?",valid
"History of sustainable living?",valid
"xyz123",invalid
"Play USA",invalid
"Machine learning world war 2?",valid
"Open plant-based diet",invalid
"Guide to COVID-19?",valid
"History of world war 2?",valid
"Locate astronomy",invalid
"Tourist attractions in climate change?",valid
"Send email to India",invalid
"Create calendar event sustainable living",invalid
"Guide to Tokyo?",valid
"lorem ipsum",invalid
"Tourist attractions in programming?",valid
"Schedule a meeting mental health",invalid
"Remind me to ChatGPT",invalid
"Navigate to programming",invalid
"How to fix world war 2?",valid
"Recipes for astronomy?",valid
"qwerty",invalid
