text,label
"nan",invalid
"Latest news about USA?",valid
"Call cryptocurrency",invalid
"Open football",invalid
"Benefits of COVID-19?",valid
"random text",invalid
"Turn off stock market",invalid
"Machine learning cryptocurrency?",valid
"Recipes for football?",valid
"yo",invalid
"Mark as read cryptocurrency",invalid
"Latest news about programming?",valid
"Delete stock market",invalid
"Call ChatGPT",invalid
"What is the weather in blockchain?",valid
"Guide to blockchain?",valid
"......",invalid
"Explain UX design?",valid
"What is the weather in astronomy?",valid
"Turn off plant-based diet",invalid
"Tourist attractions in mental health?",valid
"History of stock market?",valid
"Python India?",valid
"Change COVID-19",invalid
"Call cryptocurrency",invalid
"qwerty",invalid
"     ",invalid
"Tourist attractions in climate change?",valid
"Delete astronomy",invalid
"Change UX design",invalid
"Explain India?",valid
"Buy COVID-19",invalid
"blah blah",invalid
"Play astronomy",invalid
"Set alarm for diet plans",invalid
"JavaScript ChatGPT?",valid
"asdfghjkl",invalid
"Send email to USA",invalid
"Record electric vehicles",invalid
"Locate sustainable living",invalid
"Benefits of astronomy?",valid
"Best way to learn COVID-19?",valid
"Top 10 stock market?",valid
"random text",invalid
"Delete budget travel",invalid
"Top 10 COVID-19?",valid
"Navigate to electric vehicles",invalid
"Navigate to India",invalid
"Tourist attractions in football?",valid
"Change astronomy",invalid
"random text",invalid
"Play world war 2",invalid
"How does budget travel?",valid
"How to make world war 2?",valid
"Delete India",invalid
"Recipes for electric vehicles?",valid
"Recipes for world war 2?",valid
"Record India",invalid
"Schedule a meeting India",invalid
"Play ChatGPT",invalid
"Play sustainable living",invalid
"Play programming",invalid
"Top 10 electric vehicles?",valid
"Tourist attractions in sustainable living?",valid
"xyz123",invalid
"a",invalid
"Buy Tokyo",invalid
"Examples of electric vehicles?",valid
"Navigate to electric vehicles",invalid
"Create calendar event COVID-19",invalid
"Play ChatGPT",invalid
"History of football?",valid
"How does sustainable living?",valid
"Best way to learn astronomy?",valid
"Locate Tokyo",invalid
"Where can I find plant-based diet?",valid
"Delete diet plans",invalid
"no",invalid
"test test test",invalid
"Play diet plans",invalid
"Play UX design",invalid
"Record COVID-19",invalid
"Remind me to programming",invalid
"Navigate to football",invalid
"Book a flight to blockchain",invalid
"random text",invalid
"Record blockchain",invalid
"Explain Tokyo?",valid
"asdfghjkl",invalid
"Best way to learn stock market?",valid
"qwerty",invalid
"Symptoms of UX design?",valid
"What is the weather in diet plans?",valid
"Mark as read mental health",invalid
"hello",invalid
"Explain UX design?",valid
"Message COVID-19",invalid
"text",label
"What is the capital of France?",valid
"Set timer for 10 minutes",invalid
"How to change a car tire",valid
"Call dad when I get home",invalid
"Best sci-fi movies of 2023",valid
"asdfqwerty123",invalid
"Python vs Java performance comparison",valid
"nan",invalid
"Top 10 tourist attractions in Rome",valid
"Remind me about dentist appointment",invalid
"Difference between HTTP and HTTPS",valid
"test test test",invalid
"How to meditate for beginners",valid
"Buy groceries tomorrow",invalid
"Latest iPhone features",valid
"hi",invalid
"Recipes for vegan desserts",valid
"Play my favorite song",invalid
"History of the Roman Empire",valid
"xyz789",invalid
"How to train a neural network",valid
"Turn off the lights",invalid
"Best laptops for programming",valid
"      ",invalid
"Where to invest in 2024",valid
"Send message to Lisa",invalid
"COVID-19 symptoms and prevention",valid
"lorem ipsum dolor",invalid
"How to improve English pronunciation",valid
"Book hotel for next week",invalid
"Famous paintings of Van Gogh",valid
"awdhiuahwdiu",invalid
"Guide to growing tomatoes",valid
"Set alarm for 7 AM",invalid
"Machine learning algorithms explained",valid
"ok",invalid
"Traditional Japanese dishes",valid
"Schedule meeting with team",invalid
"Physics behind black holes",valid
"qwertyuiop",invalid
"How to write a cover letter",valid
"Text mom when free",invalid
"Benefits of intermittent fasting",valid
"1234567890",invalid
"Most dangerous animals in Australia",valid
"Turn on airplane mode",invalid
"CSS grid tutorial",valid
"no",invalid
"World's tallest buildings",valid
"Add eggs to shopping list",invalid
"Blockchain technology explained",valid
"random text here",invalid
"How to tie a tie",valid
"Check bank balance",invalid
"Best free photo editing software",valid
"asd fgh jkl",invalid
"Signs of vitamin D deficiency",valid
"Record a video message",invalid
"Chess strategies for beginners",valid
"      test      ",invalid
"Climate change effects on oceans",valid
"Share location with Mike",invalid
"DIY home decoration ideas",valid
"zzzzzzzz",invalid
"How to make sourdough bread",valid
"Cancel my subscription",invalid
"Most spoken languages worldwide",valid
"Wake me up at 8",invalid
"Tips for public speaking",valid
"abc123def456",invalid
"Quantum computing basics",valid
"Order pizza for dinner",invalid
"Healthy breakfast recipes",valid
"         ",invalid
"Python pandas tutorial",valid
"Call emergency services",invalid
"Best hiking trails in Colorado",valid
"1 2 3 4 5",invalid
"How to reduce stress",valid
"Take a screenshot",invalid
"Famous female scientists",valid
"testing 123 testing",invalid
"Difference between VR and AR",valid
"Pay electricity bill",invalid
"Guide to home composting",valid
"qazwsxedc",invalid
"Most valuable baseball cards",valid
"Remind me to drink water",invalid
"Spanish conjugation rules",valid
"!@#$%^&*()",invalid
"How to clean silver jewelry",valid
"Share this document",invalid
"Endangered species in Africa",valid
"test case 123",invalid
"Origami for beginners",valid
"Dial 911",invalid
"Best books on personal finance",valid
"false",invalid
"Human digestive system diagram",valid
"Upload files to cloud",invalid
"Types of renewable energy",valid
"sample text sample",invalid
"Making perfect scrambled eggs",valid
"Skip this song",invalid
"Ancient Egyptian hieroglyphs",valid
"0000000000",invalid
"First aid for burns",valid
"Delete all photos",invalid
"Programming languages for AI",valid
"dummy text dummy",invalid
"Gardening tips for beginners",valid
"Lock the door",invalid
"Newton's laws of motion",valid
"zzz123zzz",invalid
"How to negotiate salary",valid
"Forward this email",invalid
"Major events in World War II",valid
"example example",invalid
"Yoga poses for back pain",valid
"Take out the trash",invalid
"SQL join types explained",valid
"temp temp temp",invalid
"Building a PC guide",valid
"Remind me in 1 hour",invalid
"Famous quotes by Einstein",valid
"text text",invalid
"How to stop procrastinating",valid
"Check the weather",invalid
"Volcanoes around the world",valid
"placeholder text",invalid
"Baking soda uses at home",valid
"Send feedback to support",invalid
"Photography composition rules",valid
"demo demo demo",invalid
"Sign language alphabet",valid
"Print this document",invalid
"Common French phrases",valid
"test123test",invalid
"Time management techniques",valid
"Share my screen",invalid
"Parts of a flower",valid
"nan",invalid
"How to parallel park",valid
"Archive these files",invalid
"Moon phases explanation",valid
"fake data here",invalid
"Best free online courses",valid
"Restart the computer",invalid
"Types of tea and benefits",valid
"sample input",invalid
"Password security tips",valid
"Skip ad",invalid
"Human evolution timeline",valid
"blank",invalid
"DIY car maintenance",valid
"Subscribe to newsletter",invalid
"Periodic table trends",valid
"test data test",invalid
"Making homemade pizza",valid
"Reply all to email",invalid
"Major US national parks",valid
"temp123temp",invalid
"Speed reading techniques",valid
"Download this file",invalid
"Famous inventors and inventions",valid
"testtesttest",invalid
"Dog training basics",valid
"Record voice memo",invalid
"Cloud types and weather",valid
"123test123",invalid
"How to make friendship bracelets",valid
"Backup my phone",invalid
"Greek mythology gods",valid
"testtest",invalid
"Tips for better sleep",valid
"Enable dark mode",invalid
"Great Barrier Reef facts",valid
"text123text",invalid
"How to write a poem",valid
"Scan this QR code",invalid
"African countries and capitals",valid
"example123",invalid
"Home remedies for cold",valid
"Skip to next track",invalid
"Solar system planets",valid
"test1test2test3",invalid
"Knitting patterns for beginners",valid
"Turn on notifications",invalid
"Types of coffee drinks",valid
"demo123demo",invalid
"Public transportation in Tokyo",valid
"Clear browser history",invalid
"Signs of a toxic relationship",valid
"texttexttext",invalid
"How to grow avocado from seed",valid
"Set out of office reply",invalid
"Major rivers in Asia",valid
"sample123sample",invalid
"First signs of spring",valid
"Update my status",invalid
"Basic guitar chords",valid
"temp456temp",invalid
"Preparing for job interviews",valid
"Delete this message",invalid
"Wonders of the ancient world",valid
"test000test",invalid
"Making perfect coffee",valid
"Sync my devices",invalid
"Bird watching tips",valid
"123abc123",invalid
"How to read faster",valid
"Archive old emails",invalid
"Famous bridges worldwide",valid
"exampleexample",invalid
"Home workout without equipment",valid
"Shut down the system",invalid
"Types of rocks and minerals",valid
"dummy123dummy",invalid
"Basic first aid skills",valid
"Forward to manager",invalid
"Famous ballet performances",valid
"test-test-test",invalid
"How to make paper airplanes",valid
"Check for updates",invalid
"European Union countries",valid
"text-text-text",invalid
"Reducing plastic waste",valid
"Reply with attachment",invalid
"Famous jazz musicians",valid
"demo-demo-demo",invalid
"Making homemade soap",valid
"Restore from backup",invalid
"Desert animals adaptations",valid
"sample-sample",invalid
"Tips for new parents",valid
"Connect to WiFi",invalid
"Major stock exchanges",valid
"temp-temp",invalid
"How to draw portraits",valid
"Change my password",invalid
"Traditional Chinese festivals",valid
"123-456-789",invalid
"Cleaning hacks for home",valid
"Export contacts list",invalid
"Famous UNESCO sites",valid
"test-test",invalid
"Budget travel tips",valid
"Import from spreadsheet",invalid
"Human body systems",valid
"example-example",invalid
"Growing indoor plants",valid
"Restart router",invalid
"Famous mathematicians",valid
"text-text",invalid
"How to whistle loudly",valid
"Clear app cache",invalid
"National flags and meanings",valid
"demo-demo",invalid
"Making natural dyes",valid
"Backup to external drive",invalid
"Ocean conservation efforts",valid
"sample-sample-sample",invalid
"Time zones explained",valid
"Enable two-factor authentication",invalid
"Famous opera compositions",valid
"test--test",invalid
"Basic car maintenance",valid
"Share calendar event",invalid
"Types of musical instruments",valid
"text--text",invalid
"Home energy saving tips",valid
"Download new fonts",invalid
"Major philosophical theories",valid
"demo--demo",invalid
"How to fold origami crane",valid
"Archive chat history",invalid
"Famous modern architects",valid
"sample--sample",invalid
"Zero waste lifestyle tips",valid
"Update profile picture",invalid
"World currencies list",valid
"temp--temp",invalid
"Making homemade candles",valid
"Scan documents to PDF",invalid
"Famous female leaders",valid
"test text test",invalid
"Basic plumbing repairs",valid
"Set up auto-reply",invalid
"Types of tree leaves",valid
"example text example",invalid
"Preventing food waste",valid
"Clear download history",invalid
"Famous space missions",valid
"demo text demo",invalid
"How to juggle",valid
"Export bookmarks",invalid
"Major art movements",valid
"sample text sample text",invalid
"Home security tips",valid
"Restore default settings",invalid
"Famous Nobel Prize winners",valid
"test text test text",invalid
"Making natural cleaners",valid
"Import photos from camera",invalid
"Types of clouds",valid
"example text example text",invalid
"Basic self-defense techniques",valid
"Connect Bluetooth device",invalid
"Famous volcanic eruptions",valid
"demo text demo text",invalid
"How to solve Rubik's cube",valid
"Clear recent files",invalid
"Major software companies",valid
"sample text sample text sample",invalid
"Green energy solutions",valid
"Set up VPN",invalid
"Famous Broadway musicals",valid
"test text test text test",invalid
"DIY furniture projects",valid
"Backup photos to cloud",invalid
"Types of fish species",valid
"example text example text example",invalid
"Pet care basics",valid
"Enable parental controls",invalid
"Famous impressionist paintings",valid
"demo text demo text demo",invalid
"How to make slime",valid
"Clear browser cookies",invalid
"Major car manufacturers",valid
"sample text sample text sample text",invalid
"Composting at home",valid
"Set up email signature",invalid
"Famous classical composers",valid
"test text test text test text",invalid
"Basic woodworking skills",valid
"Download system update",invalid
"Types of mushrooms",valid
"example example example",invalid
"Water conservation methods",valid
"Restart in safe mode",invalid
"Famous Renaissance artists",valid
"demo demo demo demo",invalid
"How to do magic tricks",valid
"Export to CSV",invalid
"Major airlines worldwide",valid
"sample sample sample",invalid
"Natural pest control",valid
"Enable location services",invalid
"Famous dystopian novels",valid
"test test test test",invalid
"DIY home repairs",valid
"Clear form data",invalid
"Types of bees",valid
"example example example example",invalid
"Stress relief techniques",valid
"Backup system settings",invalid
"Famous Hollywood studios",valid
"demo demo demo demo demo",invalid
"How to make bubbles",valid
"Import bookmarks",invalid
"Major fast food chains",valid
"sample sample sample sample",invalid
"Indoor air quality tips",valid
"Set up fingerprint login",invalid
"Famous magic tricks revealed",valid
"test test test test test",invalid
"Basic sewing techniques",valid
"Clear clipboard history",invalid
"Types of owls",valid
"example example example example example",invalid
"Reducing screen time",valid
"Export chat history",invalid
"Famous football stadiums",valid
"demo demo demo demo demo demo",invalid
"How to make a kite",valid
"Backup text messages",invalid
"Major coffee brands",valid
"sample sample sample sample sample",invalid
"Natural hair care tips",valid
"Enable voice commands",invalid
"Famous haunted places",valid
"test test test test test test",invalid
"DIY garden projects",valid
"Clear app data",invalid
"Types of turtles",valid
"example example example example example example",invalid
"Minimalist lifestyle tips",valid
"Set up face recognition",invalid
"Famous magic shows",valid
"demo demo demo demo demo demo demo",invalid
"How to make a birdhouse",valid
"Import contacts from SIM",invalid
"Major chocolate brands",valid
"sample sample sample sample sample sample",invalid
"Eco-friendly cleaning",valid
"Enable dark theme",invalid
"Famous circus performers",valid
"test test test test test test test",invalid
"Basic knitting stitches",valid
"Clear DNS cache",invalid
"Types of dolphins",valid
"example example example example example example example",invalid
"Digital detox tips",valid
"Backup to Google Drive",invalid
"Famous amusement parks",valid
"demo demo demo demo demo demo demo demo",invalid
"How to make snowflakes",valid
"Export to PDF",invalid
"Major smartphone brands",valid
"sample sample sample sample sample sample sample",invalid
"Natural skin care recipes",valid
"Set up screen lock",invalid
"Famous water parks",valid
"test test test test test test test test",invalid
"DIY Christmas decorations",valid
"Clear RAM cache",invalid
"Types of whales",valid
"example example example example example example example example",invalid
"Mindfulness exercises",valid
"Backup to Dropbox",invalid
"Famous zoos worldwide",valid
"demo demo demo demo demo demo demo demo demo",invalid
"How to make a paper boat",valid
"Import from iCloud",invalid
"Major watch brands",valid
"sample sample sample sample sample sample sample sample",invalid
"Homemade face masks",valid
"Enable battery saver",invalid
"Famous aquariums",valid
"test test test test test test test test test",invalid
"Basic embroidery stitches",valid
"Clear system cache",invalid
"Types of sharks",valid
"example example example example example example example example example",invalid
"Decluttering tips",valid
"Backup to OneDrive",invalid
"Famous botanical gardens",valid
"demo demo demo demo demo demo demo demo demo demo",invalid
"How to make a dreamcatcher",valid
"Export to Excel",invalid
"Major perfume brands",valid
"sample sample sample sample sample sample sample sample sample",invalid
"Natural toothpaste recipes",valid
"Set up pattern lock",invalid
"Famous observatories",valid
"test test test test test test test test test test",invalid
"DIY Halloween costumes",valid
"Clear app cache and data",invalid
"Types of rays",valid
"example example example example example example example example example example",invalid
"Positive affirmations",valid
"Backup to external hard drive",invalid
"Famous planetariums",valid
"demo demo demo demo demo demo demo demo demo demo demo",invalid
"How to make a terrarium",valid
"Import from Google Drive",invalid
"Major sunglasses brands",valid
"sample sample sample sample sample sample sample sample sample sample",invalid
"Homemade shampoo recipes",valid
"Enable do not disturb",invalid
"Famous lighthouses",valid
"test test test test test test test test test test test",invalid
"Basic crochet stitches",valid
"Clear all notifications",invalid
"Types of eels",valid
"example example example example example example example example example example example",invalid
"Gratitude journal ideas",valid
"Backup to USB drive",invalid
"Famous castles in Europe",valid
"demo demo demo demo demo demo demo demo demo demo demo demo",invalid
"How to make a wind chime",valid
"Export to Word",invalid
"Major backpack brands",valid
"sample sample sample sample sample sample sample sample sample sample sample",invalid
"Natural deodorant recipes",valid
"Set up PIN lock",invalid
"Famous palaces worldwide",valid
"test test test test test test test test test test test test",invalid
"DIY wedding decorations",valid
"Clear call history",invalid
"Types of jellyfish",valid
"example example example example example example example example example example example example example example example example",invalid
"Morning routine ideas",valid
"Backup to SD card",invalid
"Famous towers worldwide",valid
"demo demo demo demo demo demo demo demo demo demo demo demo demo",invalid
"How to make a sundial",valid
"Import from Dropbox",invalid
"Major sneaker brands",valid
"sample sample sample sample sample sample sample sample sample sample sample sample sample sample",invalid
"Homemade soap recipes",valid
"Enable grayscale mode",invalid
"Famous monuments in India",valid
"test test test test test test test test test test test test test test test",invalid
"Basic quilling techniques",valid
"Clear YouTube history",invalid
"Types of sea urchins",valid
"example example example example example example example example example example example example example example example",invalid
"Meditation techniques",valid
"Backup to FTP server",invalid
"Famous temples in Asia",valid
"demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo",invalid
"How to make a compass",valid
"Export to text file",invalid
"Major surfboard brands",valid
"sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample",invalid
"Natural sunscreen recipes",valid
"Set up voice unlock",invalid
"Famous mosques worldwide",valid
"test test test test test test test test test test test test test test test test",invalid
"DIY birthday decorations",valid
"Clear watch history",invalid
"Types of crabs",valid
"example example example example example example example example example example example example example example example example",invalid
"Breathing exercises",valid
"Backup to external SSD",invalid
"Famous churches in Europe",valid
"demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo",invalid
"How to make a kaleidoscope",valid
"Import from USB drive",invalid
"Major snowboard brands",valid
"sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample",invalid
"Homemade lotion recipes",valid
"Enable reading mode",invalid
"Famous synagogues worldwide",valid
"test test test test test test test test test test test test test test test test test",invalid
"Basic pottery techniques",valid
"Clear location history",invalid
"Types of lobsters",valid
"example example example example example example example example example example example example example example example example example",invalid
"Journaling prompts",valid
"Backup to cloud storage",invalid
"Famous pagodas in Asia",valid
"demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo",invalid
"How to make a periscope",valid
"Export to JSON",invalid
"Major guitar brands",valid
"sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample",invalid
"Natural shampoo bars recipe",valid
"Set up password manager",invalid
"Famous stupas worldwide",valid
"test test test test test test test test test test test test test test test test test test",invalid
"DIY party decorations",valid
"Clear activity history",invalid
"Types of shrimp",valid
"example example example example example example example example example example example example example example example example example example",invalid
"Self-care ideas",valid
"Backup to external HDD",invalid
"Famous cathedrals worldwide",valid
"demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo",invalid
"How to make a telescope",valid
"Import from external drive",invalid
"Major drum brands",valid
"sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample",invalid
"Homemade scrub recipes",valid
"Enable blue light filter",invalid
"Famous basilicas worldwide",valid
"test test test test test test test test test test test test test test test test test test test",invalid
"Basic weaving techniques",valid
"Clear voice search history",invalid
"Types of clams",valid
"example example example example example example example example example example example example example example example example example example example",invalid
"Relaxation techniques",valid
"Backup to Time Machine",invalid
"Famous shrines in Japan",valid
"demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo",invalid
"How to make a sundial",valid
"Export to CSV file",invalid
"Major violin brands",valid
"sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample",invalid
"Natural mouthwash recipes",valid
"Set up secure folder",invalid
"Famous temples in Thailand",valid
"test test test test test test test test test test test test test test test test test test test test",invalid
"DIY holiday decorations",valid
"Clear app preferences",invalid
"Types of oysters",valid
"example example example example example example example example example example example example example example example example example example example example",invalid
"Sleep hygiene tips",valid
"Backup to iCloud",invalid
"Famous pyramids worldwide",valid
"demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo",invalid
"How to make a rain stick",valid
"Import from SD card",invalid
"Major piano brands",valid
"sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample",invalid
"Homemade toner recipes",valid
"Enable kid mode",invalid
"Famous tombs worldwide",valid
"test test test test test test test test test test test test test test test test test test test test test",invalid
"Basic calligraphy strokes",valid
"Clear clipboard",invalid
"Types of mussels",valid
"example example example example example example example example example example example example example example example example example example example example example example example example example example example example",invalid
"Stress management techniques",valid
"Backup to Google Photos",invalid
"Famous caves worldwide",valid
"demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo",invalid
"How to make a water clock",valid
"Export to XML",invalid
"Major trumpet brands",valid
"sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample",invalid
"Natural conditioner recipes",valid
"Set up app lock",invalid
"Famous canyons worldwide",valid
"test test test test test test test test test test test test test test test test test test test test test test",invalid
"DIY graduation decorations",valid
"Clear download folder",invalid
"Types of scallops",valid
"example example example example example example example example example example example example example example example example example example example example example example",invalid
"Mindfulness meditation",valid
"Backup to Samsung Cloud",invalid
"Famous valleys worldwide",valid
"demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo",invalid
"How to make a hygrometer",valid
"Import from external HDD",invalid
"Major flute brands",valid
"sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample",invalid
"Homemade face scrub recipes",valid
"Enable ultra power saving",invalid
"Famous savannas worldwide",valid
"test test test test test test test test test test test test test test test test test test test test test test test test test test test",invalid
"Basic leather tool",valid
"How far is it from Delhi to Patna?",valid
"Distance between Mumbai and Bangalore?",valid
"How long does it take to travel from Chennai to Hyderabad?",valid
"Best route from Kolkata to Varanasi?",valid
"What is the distance from Pune to Goa?",valid
"Travel time from Lucknow to Kanpur?",valid
"How many kilometers from Jaipur to Udaipur?",valid
"Driving distance between Agra and Mathura?",valid
"Shortest route from Surat to Ahmedabad?",valid
"How to get from Bhopal to Indore?",valid
